,q1c,q1cstd,q1high,q1low,q1range,q1middle,q1pos,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
2015-06-19,-0.7558614786996376,0.6230395994231913,0.0,-2.200315546212883,2.200315546212883,-1.1001577731064416,31.295174457990484,0.746813705826721,0.6810469512177265,0.3923153571378521,-0.45444908172770454,0.8514316522424074,0.3901398201089163,32.7045907823268,0.0,0.0,-19.49976867459593,1.0,-1.180777928590281,0.0,0.0,1.9258222853994376,0.0,0.3952475684918966,0.6309758714671714,0.36968631286484543,-0.42064297012158686,0.7942737888249031,0.3413349797573781,4.336817631811622,0.0,0.0,-3.8911827731342052,1.0,-0.2425577353373809,0.0,0.0,0.3890379617993096,0.0
2015-05-15,1.9964659163357767,0.6632262101972082,1.9964659163357767,-0.04949259716385823,2.045958513499635,0.9734866595859593,100.0,3.0582982566454087,0.7768957804952652,0.39723527029275996,-0.5677222447966811,0.9718211622110932,0.4702818993891538,31.758448457792444,0.0,0.0,-18.770607852818145,1.0,0.7225480139775158,0.0,0.0,0.1397998442043793,0.0,-1.2769870854585919,0.645571989025937,0.46166905563714156,-0.42226962439642024,0.8880996074809877,0.350478773354212,2.900084173388446,0.0,0.0,-2.79357554522649,1.0,-2.986465732630449,0.0,0.0,1.87586031272583,0.0
2015-04-17,-1.2769870854585919,0.645571989025937,0.0,-2.4643135328007437,2.4643135328007437,-1.2321567664003719,-3.6383616339004887,1.8086203739138718,0.8514522021345027,0.45845070816528904,-0.5812382616294739,1.0472432753126648,0.5449278003398972,34.35222871296367,0.0,0.0,-20.570840524519983,1.0,-3.1642914615329616,0.0,0.0,1.1976219297754618,0.0,-0.10424825612085353,0.7900968332622649,0.3604169950873294,-0.5202967386003851,0.8867801028355666,0.4838666543768247,5.886549906018895,0.0,0.0,-4.66943585795232,1.0,-1.1750381992695695,0.0,0.0,1.0144867290837416,0.0
2015-03-20,-0.10424825612085353,0.7900968332622649,0.33596378881570743,-3.319909840934665,3.6558736297503724,-1.4919730260594788,75.9175458717035,2.267993651562872,0.915359579416209,0.5262413159792242,-0.5833354633509461,1.117612528390468,0.584182130632232,33.88536871091708,0.0,0.0,-21.425590959995368,1.0,-3.2450832071393734,0.0,0.0,0.9001256643006883,0.0,2.850151527029521,0.8517179902818428,0.3886065650924153,-0.6601545867593067,1.0569066370063407,0.48807514247922784,7.061588105288465,0.0,0.0,-5.6839225870360615,1.0,1.9386890033823558,0.0,0.0,-1.8564577395645658,0.0
2015-02-20,2.850151527029521,0.8517179902818428,2.850151527029521,-2.7697398464084144,5.619891373437936,0.040205840310552965,100.0,4.440649602148339,0.8129396173169638,0.4451986993497879,-0.5351863733263912,0.9870371094675485,0.5745935307345842,32.30057003460427,0.0,0.0,-19.985072008190585,1.0,-0.9169054819898861,0.0,0.0,-0.6473485155530803,0.0,-1.768981345299081,0.975786967457996,0.6732367444008887,-0.6379775426685932,1.3210268909688567,0.5368522525174151,5.122899101906109,0.0,0.0,-3.8274648474714956,1.0,-2.6076287122814206,0.0,0.0,2.383830075636017,0.0
2015-01-16,-2.474095594359915,0.8936485301774204,0.9620248203599857,-3.7659605288504205,4.727985349210407,-1.4019678542452176,-45.352413805332446,2.9969099323886805,0.9202163353923544,0.5121113647458876,-0.5761897609458445,1.0963356688112933,0.6070630568976655,37.516520174496634,0.0,0.0,-21.768462454295445,1.0,-2.680307220006533,0.0,0.0,0.3533344643398273,0.0,0.34649391810031016,0.9884061110236433,0.5789283522643263,-0.48797341035030967,1.073840796373614,0.6395287724982727,7.285306172571451,0.0,0.0,-5.667366685333953,1.0,-0.5145003568931674,0.0,0.0,0.6599818344763193,0.0
2014-12-19,0.34649391810031016,0.9884061110236433,0.575241919069569,-4.39835279864309,4.973594717712659,-1.9115554397867607,90.80150217489135,3.776904802531833,0.7711167241974597,0.4100924955706146,-0.5420782365894347,0.958892770092454,0.5541775711253448,37.13045191805645,0.0,0.0,-22.325716624296057,1.0,-7.0897310780766105,0.0,0.0,-0.1003789708615841,0.0,5.035175264711911,0.4048353965704289,0.14836084790032325,-0.526948223442693,0.6794574692467191,0.25974544080275647,7.799806529464618,0.0,0.0,-6.327348519810272,1.0,3.5672192332537778,1.3876777599068801,1.3876777599068801,-3.4648768080250747,0.0
2014-11-21,5.035175264711911,0.4048353965704289,5.035175264711911,-0.15015683077649333,5.185332095488404,2.442509216967709,100.0,-0.6955331356835237,0.8204671134207926,0.4875909408912425,-0.5205670835822843,1.0148484070227353,0.5467679591074712,33.217475516594156,0.0,0.0,-19.337723492637505,1.0,-9.25303089870578,0.0,0.0,3.3668565220165156,0.0,-0.9214020334940565,1.1471575772052924,0.739333159498115,-0.787987761538657,1.5413480688581533,0.5340041114493388,4.23258729621084,-1.3876777599068801,-1.3876777599068801,-2.862471711785197,1.0,-0.10188951896479459,-1.3876777599068801,-1.3876777599068801,1.1620725697756846,0.0
2014-10-17,-6.150020519498344,1.0521422279968518,0.0,-7.357243943208392,7.357243943208392,-3.678621971604196,-67.18272676483814,2.421455782658688,0.5299016295950707,0.2960468126172906,-0.38305284059695666,0.6819555913115144,0.3124723922102023,40.19682739450317,0.0,0.0,-22.121796918635273,1.0,-0.2873801137309826,0.0,0.0,1.1645689732514555,0.0,1.1064172065208044,0.35855381064290337,0.2501148845754275,-0.3702311202281855,0.6229622527162382,0.22531675197232187,6.239702504602056,0.0,0.0,-5.549377466007755,1.0,-0.9270986833303878,0.0,0.0,0.08260007989055929,0.0
2014-09-19,1.1064172065208044,0.35855381064290337,1.1546952687021328,-0.21474647698956906,1.3694417456917019,0.46997439585628187,92.94923463035761,4.623446810058263,0.5307931415399864,0.25461063338357676,-0.39302702121024113,0.6504133945121924,0.31491111932393806,44.22018299613306,0.0,0.0,-22.225337653434472,1.0,6.484084641843857,0.0,0.0,-0.49059399613971877,0.0,0.5085100727323599,0.6809238510021739,0.39887388236320376,-0.4247022676474228,0.8272318699759932,0.35404656656980865,7.166801187932444,0.0,0.0,-5.631977545898314,1.0,-0.45454795367847556,0.0,0.0,0.4786008918613476,0.0
