TRADE_DT,UNDLY,CLS,EXPR_DT,STRK_PRC,PC,OIT,VOL,HIGH,LOW,OPEN,LAST,L_BID,L_ASK,UNDL_PRC,S_TYPE,P_TYPE
20140303,SPX,SPX,20140322,1175.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,666.8000,669.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1180.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.8000,664.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1185.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,656.8000,659.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1190.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,651.8000,654.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1195.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,646.8000,649.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1200.0000,C,6.0000,1.0000,640.0000,640.0000,640.0000,640.0000,641.8000,644.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1205.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,636.8000,639.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1210.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,631.8000,634.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1215.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,626.8000,629.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1220.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,621.8000,624.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1225.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,616.8000,619.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1230.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,611.8000,614.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1235.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,606.8000,609.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1240.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,601.8000,604.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1245.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,596.8000,599.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1250.0000,C,186.0000,0.0000,0.0000,0.0000,0.0000,0.0000,591.9000,594.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1255.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,586.9000,589.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1260.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,581.9000,584.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1265.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,576.9000,579.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1270.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,571.9000,574.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1275.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.9000,569.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1280.0000,C,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.9000,564.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1285.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,556.9000,559.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1290.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,551.9000,554.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1295.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,546.9000,549.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1300.0000,C,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,541.9000,544.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1305.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,536.9000,539.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1310.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,531.9000,534.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1315.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,526.9000,529.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1320.0000,C,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,521.9000,524.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1325.0000,C,1393.0000,0.0000,0.0000,0.0000,0.0000,0.0000,516.9000,519.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1330.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,511.9000,514.4000,1845.7300,Standard,Index
