,date,open,high,low,vol,close
0,2015-06-01 00:00:00,2108.63989,2121.91992,2085.66992,3120956000,2092.83008
1,2015-05-26 00:00:00,2125.3400899999997,2126.21997,2099.1799300000002,3344457500,2107.38989
2,2015-05-18 00:00:00,2121.30005,2134.71997,2120.01001,2970484000,2126.0600600000002
3,2015-05-11 00:00:00,2115.5600600000002,2123.88989,2085.5700699999998,2536950000,2122.72998
4,2015-05-04 00:00:00,2110.22998,2120.94995,2067.9299300000002,3550764000,2116.1001
5,2015-04-27 00:00:00,2119.29004,2125.91992,2077.5900899999997,3789812000,2108.29004
6,2015-04-20 00:00:00,2084.11011,2120.91992,2084.11011,3320900000,2117.6899399999998
7,2015-04-13 00:00:00,2102.03003,2111.9099100000003,2072.37012,3457034000,2081.1799300000002
8,2015-04-06 00:00:00,2064.87012,2102.61011,2056.52002,2668474000,2102.0600600000002
9,2015-03-30 00:00:00,2064.11011,2088.96997,2048.37988,3233367500,2066.95996
10,2015-03-23 00:00:00,2107.98999,2114.86011,2045.5,3299628000,2061.02002
11,2015-03-16 00:00:00,2055.3501,2113.91992,2055.3501,3900998000,2108.1001
12,2015-03-09 00:00:00,2072.25,2083.48999,2039.6899399999998,3465796000,2053.3999
13,2015-03-02 00:00:00,2105.22998,2117.52002,2067.27002,3409900000,2071.26001
14,2015-02-23 00:00:00,2109.83008,2119.5900899999997,2103.0,3312386000,2104.5
15,2015-02-17 00:00:00,2096.46997,2110.61011,2085.4399399999998,3315117500,2110.30005
16,2015-02-09 00:00:00,2053.46997,2097.03003,2041.88,3626410000,2096.98999
17,2015-02-02 00:00:00,1996.6700399999997,2072.3999,1980.9000199999998,4164222000,2055.46997
18,2015-01-26 00:00:00,2050.41992,2057.62012,1989.18005,3905778000,1994.9899899999998
19,2015-01-20 00:00:00,2020.7600100000002,2064.62012,2004.4899899999998,3856005000,2051.8200699999998
20,2015-01-12 00:00:00,2046.13,2056.9299300000002,1988.12,4055114000,2019.4200399999997
21,2015-01-05 00:00:00,2054.4399399999998,2064.4299300000002,1992.4399399999998,3872572000,2044.8100600000002
22,2014-12-29 00:00:00,2087.62988,2093.55005,2046.0400399999999,2551852500,2058.19995
23,2014-12-22 00:00:00,2069.28003,2092.69995,2069.28003,2391420000,2088.77002
24,2014-12-15 00:00:00,2005.0300300000001,2077.8501,1972.5600600000002,5086390000,2070.6499
