,q1c,q1cstd,q1high,q1low,q1range,q1middle,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
2015-03-20,1.8086205688368828,0.8514521975786057,2.2572618384208765,-3.765960629075915,6.023222467496792,-0.7543493953275195,2.996910037834155,0.92021634226669,0.5121113685726162,-0.5761897665108486,1.0963356784727558,0.6070630734679823,37.51652015875446,0.0,0.0,-21.768462387507846,1.0,-2.680306927496467,0.0,0.0,0.35333438956343244,0.0,0.34649382117759586,0.9884061713863052,0.5789283622160003,-0.48797339034268356,1.0738407861188437,0.6395287751640792,7.285306065748893,0.0,0.0,-5.6673665860388915,1.0,-0.5145004270910034,0.0,0.0,0.6599819245689744,0.0
2014-12-19,2.996910037834155,0.92021634226669,3.2317001270224743,-7.357243758881382,10.588943885903856,-2.0627718159294535,2.4214553179782827,0.5299016758680634,0.29604674822528887,-0.38305284615764973,0.6819555320773705,0.31247235281494395,40.19682708625093,0.0,0.0,-22.12179677707128,1.0,-0.28738078505440257,0.0,0.0,1.1645693275572846,0.0,1.1064172087465574,0.35855388746142397,0.2501148497769379,-0.37023106507743647,0.6229621619624692,0.22531673251206522,6.239702310649145,0.0,0.0,-5.549377272851375,1.0,-0.9270986033586199,0.0,0.0,0.08260007455313989,0.0
2014-09-19,2.4214553179782827,0.5299016758680634,2.4703617661893107,-2.7154141639537888,5.1857759301431,-0.12252619888223926,5.16201160274723,0.5998970963612591,0.3253104731645803,-0.45313064555356863,0.7822201075569496,0.37920268447167504,40.48420787130533,0.0,0.0,-23.286366104628563,1.0,5.17366352942841,0.0,0.0,-1.0050602916940576,0.0,3.280136015530366,0.34443120378821335,0.10724341323361974,-0.40242024505123875,0.5120055836488724,0.20063730793478593,8.93513449255194,0.0,0.0,-7.054315107233555,1.0,2.1265652737872216,0.0,0.0,-1.6522657447800677,0.0
2014-06-20,5.16201160274723,0.5998970963612591,5.16201160274723,-2.7232539407747614,7.8852655435219905,1.2193788309862343,2.6508024619099624,0.7364758624984772,0.4017068753170564,-0.4730663039013384,0.8792934629337551,0.44299904961951336,35.31054434187692,0.0,0.0,-22.281305812934505,1.0,7.549292751666883,0.0,0.0,0.5384398887985462,0.0,1.6484694349897744,0.6112922888583691,0.42270449860777537,-0.4824997240273532,0.9100789373818797,0.3534731909195618,7.601945755697843,0.0,0.0,-6.067855542401645,1.0,-0.35268184680610926,0.0,0.0,-0.13799134274909974,0.0
2014-03-21,2.6508024619099624,0.7364758624984772,3.2843554293071398,-4.203327362711939,7.487682792019079,-0.45948596670239983,6.340094981488598,0.6606069249938169,0.32134487530176986,-0.4590261990757701,0.7851189518478191,0.3863184075752973,27.761251590210037,0.0,0.0,-22.81974570173305,1.0,1.7629951633721603,0.0,0.0,-2.2936679756857856,0.0,0.7513431107108781,0.5962954375297321,0.3108035324770919,-0.402731563366222,0.718535322863484,0.4713940500309838,9.628809617651175,0.0,0.0,-7.905415885709644,1.0,-0.4223280756965426,0.0,0.0,0.7645807262671056,0.0
2013-12-20,6.340094981488598,0.6606069249938169,6.340094981488598,-3.1849675739956895,9.525062555484286,1.5775637037464545,7.377402856722037,0.6011231639075043,0.36233980186062276,-0.4434185921459822,0.8098623690327944,0.31780196002141126,25.998256426837877,0.0,0.0,-20.526077726047266,1.0,6.853035585149666,0.0,0.0,-3.547141204718418,0.0,2.7899026149684314,0.6363366345615462,0.38676990510480014,-0.45307306991245466,0.8443925157441056,0.36709400554188465,8.462655314374969,0.0,0.0,-6.842044477709774,1.0,1.5805191340458613,0.0,0.0,-1.4524311993661891,0.0
2013-09-20,7.377402856722037,0.6011231639075043,8.35766506666964,-1.2145010702353853,9.572166136905025,3.571581998217127,2.282758561730369,0.8580330055575917,0.4821815959801825,-0.5796767620639373,1.068207181006982,0.4604615643039329,19.14522084168821,0.0,0.0,-16.978936521328848,1.0,-0.11801787039997436,0.0,0.0,0.2843689991244389,0.0,-3.4656844503599293,1.0532468828914858,0.7195148571109978,-0.5591745049550239,1.2860105131131494,0.4437001932865108,3.8322507979452025,1.137871795111689,1.137871795111689,-4.422610345357391,1.0,-5.666923709975483,1.137871795111689,1.137871795111689,4.532243096592348,0.0
2013-06-21,2.282758561730369,0.8580330055575917,7.211172226610918,-0.981445054040786,8.192617280651703,3.1148635862850664,8.862006658574217,0.6850417329776405,0.30794810743856366,-0.5355989176242513,0.8492666134058259,0.4656503394830172,19.263238712088185,0.0,0.0,-17.263305520453287,1.0,5.636332855348821,0.0,14.740131445266124,-5.547278082774476,0.0,2.724335612619866,0.6685165093919475,0.3452829957391638,-0.5531572500537548,0.903778166533862,0.4884752487049536,8.929477270124405,0.0,0.0,-7.1465822212109735,1.0,0.7950725071026827,0.0,0.0,-0.9531761645360071,0.0
2013-03-15,10.407617125528578,0.7090045958232557,10.586597450065716,-0.7887710858606178,11.375368535926334,4.8989131821025484,-3.5605899484831838,0.7218895406521058,0.5389586141327062,-0.4654428016548915,1.0096586277311663,0.4627660361764038,12.545801010448173,0.0,-13.715469425742445,-10.773492244710914,1.0,-7.669385825838152,0.0,-13.715469425742445,4.485576868748975,0.0,3.948874900726529,0.6276410397224872,0.3200990689021532,-0.6145549915668846,0.9423471035382903,0.42693967115790304,2.365128955753163,-0.014529053713163709,0.1437386042291211,-2.0433501271364785,0.0,2.2104133520729126,-0.014529053713163709,0.1437386042291211,-3.298281350174337,0.0
2012-12-21,-2.0545834050668343,0.7704171576190929,0.08560764187779402,-7.315690753474746,7.40129839535254,-3.615041555798476,9.37289314957237,0.7882842145605549,0.3781556428777644,-0.6076827678605888,0.9940574793507337,0.5230216957628431,20.273719247366962,0.0,0.0,-14.797661084451619,1.0,9.662959936816245,0.0,8.348474473834322,-6.489171994908393,0.0,3.47381318517781,0.6523805124348138,0.3156869271133389,-0.4769866466859963,0.7985929824502215,0.4528847252634893,10.12250038375814,0.0,0.0,-7.604917357902985,1.0,3.6902771947530164,0.0,0.0,-1.994221929881279,0.0
