,date,o,h,l,close,vol,c
0,2015-06-15,2091.340088,2126.649902,2072.48999,2109.98999,3434776000,2109.98999
1,2015-06-08,2092.340088,2115.02002,2072.139893,2094.110107,3042810000,2094.110107
2,2015-06-01,2108.639893,2121.919922,2085.669922,2092.830078,3120956000,2092.830078
3,2015-05-26,2125.340088,2126.219971,2099.179932,2107.389893,3344457500,2107.389893
4,2015-05-18,2121.300049,2134.719971,2120.01001,2126.060059,2970484000,2126.060059
5,2015-05-11,2115.560059,2123.889893,2085.570068,2122.72998,2536950000,2122.72998
6,2015-05-04,2110.22998,2120.949951,2067.929932,2116.100098,3550764000,2116.100098
7,2015-04-27,2119.290039,2125.919922,2077.590088,2108.290039,3789812000,2108.290039
8,2015-04-20,2084.110107,2120.919922,2084.110107,2117.689941,3320900000,2117.689941
9,2015-04-13,2102.030029,2111.909912,2072.3701170000004,2081.179932,3457034000,2081.179932
10,2015-04-06,2064.8701170000004,2102.610107,2056.52002,2102.060059,2668474000,2102.060059
11,2015-03-30,2064.110107,2088.969971,2048.379883,2066.959961,3233367500,2066.959961
12,2015-03-23,2107.98999,2114.860107,2045.5,2061.02002,3299628000,2061.02002
13,2015-03-16,2055.350098,2113.919922,2055.350098,2108.100098,3900998000,2108.100098
14,2015-03-09,2072.25,2083.48999,2039.689941,2053.399902,3465796000,2053.399902
15,2015-03-02,2105.22998,2117.52002,2067.27002,2071.26001,3409900000,2071.26001
16,2015-02-23,2109.830078,2119.590088,2103.0,2104.5,3312386000,2104.5
17,2015-02-17,2096.469971,2110.610107,2085.439941,2110.300049,3315117500,2110.300049
18,2015-02-09,2053.469971,2097.030029,2041.880005,2096.98999,3626410000,2096.98999
19,2015-02-02,1996.670044,2072.399902,1980.900024,2055.469971,4164222000,2055.469971
20,2015-01-26,2050.419922,2057.6201170000004,1989.180054,1994.98999,3905778000,1994.98999
21,2015-01-20,2020.76001,2064.6201170000004,2004.48999,2051.820068,3856005000,2051.820068
22,2015-01-12,2046.130005,2056.929932,1988.119995,2019.420044,4055114000,2019.420044
23,2015-01-05,2054.439941,2064.429932,1992.439941,2044.810059,3872572000,2044.810059
24,2014-12-29,2087.629883,2093.550049,2046.040039,2058.199951,2551852500,2058.199951
25,2014-12-22,2069.280029,2092.699951,2069.280029,2088.77002,2391420000,2088.77002
26,2014-12-15,2005.030029,2077.850098,1972.560059,2070.649902,5086390000,2070.649902
27,2014-12-08,2074.840088,2075.780029,2002.329956,2002.329956,3992236000,2002.329956
28,2014-12-01,2065.780029,2079.469971,2049.570068,2075.3701170000004,3657260000,2075.3701170000004
29,2014-11-24,2065.070068,2075.76001,2064.75,2067.560059,2942725000,2067.560059
30,2014-11-17,2038.290039,2071.459961,2034.459961,2063.5,3400928000,2063.5
31,2014-11-10,2032.01001,2046.180054,2030.170044,2039.819946,3234462000,2039.819946
32,2014-11-03,2018.209961,2034.26001,2001.01001,2031.920044,3730468000,2031.920044
33,2014-10-27,1962.969971,2018.189941,1951.369995,2018.050049,3762182000,2018.050049
34,2014-10-20,1885.619995,1965.27002,1882.300049,1964.579956,3589572000,1964.579956
35,2014-10-13,1905.650024,1912.089966,1820.660034,1886.76001,4962132000,1886.76001
36,2014-10-06,1970.01001,1977.839966,1906.050049,1906.130005,4072602000,1906.130005
37,2014-09-29,1978.959961,1985.170044,1926.030029,1967.900024,3761592000,1967.900024
38,2014-09-22,2009.079956,2009.079956,1965.98999,1982.849976,3229072000,1982.849976
39,2014-09-15,1986.040039,2019.26001,1978.47998,2010.400024,3452364000,2010.400024
40,2014-09-08,2007.170044,2007.170044,1980.26001,1985.540039,2946522000,1985.540039
41,2014-09-02,2004.069946,2011.170044,1990.099976,2007.709961,2880167500,2007.709961
42,2014-08-25,1991.73999,2005.040039,1990.52002,2003.369995,2314342000,2003.369995
43,2014-08-18,1958.359985,1994.76001,1958.359985,1988.400024,2562950000,1988.400024
44,2014-08-11,1933.430054,1964.040039,1928.290039,1955.060059,2749490000,1955.060059
45,2014-08-04,1926.619995,1942.920044,1904.780029,1931.589966,3241478000,1931.589966
46,2014-07-28,1978.25,1984.849976,1916.369995,1925.150024,3483506000,1925.150024
47,2014-07-21,1976.930054,1991.390015,1965.77002,1978.339966,2842770000,1978.339966
48,2014-07-14,1969.859985,1983.939941,1955.589966,1978.219971,3190470000,1978.219971
49,2014-07-07,1984.219971,1984.219971,1952.859985,1967.569946,2938562000,1967.569946
50,2014-06-30,1960.790039,1985.589966,1958.219971,1985.439941,2768790000,1985.439941
51,2014-06-23,1962.920044,1968.170044,1944.689941,1960.959961,3196694000,1960.959961
52,2014-06-16,1934.839966,1963.910034,1930.910034,1962.869995,3250200000,1962.869995
53,2014-06-09,1948.969971,1955.550049,1925.780029,1936.160034,2772774000,1936.160034
54,2014-06-02,1923.869995,1949.439941,1915.97998,1949.439941,2829538000,1949.439941
55,2014-05-27,1902.01001,1924.030029,1902.01001,1923.569946,2965002500,1923.569946
56,2014-05-19,1876.660034,1901.26001,1868.140015,1900.530029,2721034000,1900.530029
57,2014-05-12,1880.030029,1902.170044,1862.359985,1877.859985,3093954000,1877.859985
58,2014-05-05,1879.449951,1889.069946,1859.790039,1878.47998,3222476000,1878.47998
59,2014-04-28,1865.0,1891.329956,1850.609985,1881.140015,3607606000,1881.140015
60,2014-04-21,1865.790039,1884.890015,1859.699951,1863.400024,3069702000,1863.400024
61,2014-04-14,1818.180054,1869.630005,1815.800049,1864.849976,3336122500,1864.849976
62,2014-04-07,1863.920044,1872.530029,1814.359985,1815.689941,3666776000,1815.689941
63,2014-03-31,1859.160034,1897.280029,1859.160034,1865.089966,3276300000,1865.089966
64,2014-03-24,1867.670044,1875.920044,1842.109985,1857.619995,3355872000,1857.619995
65,2014-03-17,1842.810059,1883.969971,1842.810059,1866.52002,3535628000,1866.52002
66,2014-03-10,1877.859985,1882.349976,1839.569946,1841.130005,3328212000,1841.130005
67,2014-03-03,1857.680054,1883.569946,1834.439941,1878.040039,3502434000,1878.040039
68,2014-02-24,1836.780029,1867.920044,1836.780029,1859.449951,3742346000,1859.449951
69,2014-02-18,1839.030029,1847.5,1824.579956,1836.25,3472885000,1836.25
70,2014-02-10,1796.199951,1841.650024,1791.8299559999996,1838.630005,3348436000,1838.630005
71,2014-02-03,1782.680054,1798.030029,1737.9200440000004,1797.02002,4076028000,1797.02002
72,2014-01-27,1791.030029,1798.77002,1770.449951,1782.589966,3810850000,1782.589966
73,2014-01-21,1841.050049,1849.310059,1790.290039,1790.290039,3936835000,1790.290039
74,2014-01-13,1841.26001,1850.839966,1815.52002,1838.699951,3567970000,1838.699951
75,2014-01-06,1832.310059,1843.22998,1823.72998,1842.369995,3475120000,1842.369995
76,2013-12-30,1841.469971,1849.439941,1827.73999,1831.369995,2615392500,1831.369995
77,2013-12-23,1822.920044,1844.890015,1822.920044,1841.400024,2048590000,1841.400024
78,2013-12-16,1777.47998,1823.75,1767.9899899999998,1818.319946,3880520000,1818.319946
79,2013-12-09,1806.209961,1811.52002,1772.280029,1775.319946,3217320000,1775.319946
80,2013-12-02,1806.550049,1810.02002,1779.089966,1805.089966,3333712000,1805.089966
81,2013-11-25,1806.329956,1813.550049,1800.5799559999996,1805.810059,2659387500,1805.810059
82,2013-11-18,1798.819946,1804.839966,1777.22998,1804.76001,3162776000,1804.76001
83,2013-11-11,1769.959961,1798.219971,1760.640015,1798.180054,3095290000,1798.180054
84,2013-11-04,1763.4000239999998,1774.540039,1746.199951,1770.609985,3602804000,1770.609985
85,2013-10-28,1759.4200440000004,1775.219971,1752.699951,1761.640015,3535324000,1761.640015
86,2013-10-21,1745.199951,1759.819946,1740.5,1759.77002,3492870000,1759.77002
87,2013-10-14,1699.859985,1745.310059,1692.130005,1744.5,3302596000,1744.5
88,2013-10-07,1687.1500239999998,1703.439941,1646.469971,1703.199951,3226506000,1703.199951
89,2013-09-30,1687.2600100000002,1696.550049,1670.359985,1690.5,3171168000,1690.5
90,2013-09-23,1711.439941,1711.439941,1687.109985,1691.75,3062048000,1691.75
91,2013-09-16,1691.699951,1729.859985,1691.699951,1709.910034,3731592000,1709.910034
92,2013-09-09,1656.849976,1689.969971,1656.849976,1687.9899899999998,3154566000,1687.9899899999998
93,2013-09-03,1635.949951,1664.829956,1633.410034,1655.170044,3281187500,1655.170044
94,2013-08-26,1664.290039,1669.51001,1627.469971,1632.969971,2739144000,1632.969971
95,2013-08-19,1655.25,1664.849976,1639.430054,1663.5,2790186000,1663.5
96,2013-08-12,1688.369995,1696.810059,1652.609985,1655.829956,3066858000,1655.829956
97,2013-08-05,1708.0100100000002,1709.2399899999998,1684.910034,1691.4200440000004,2982014000,1691.4200440000004
98,2013-07-29,1690.319946,1709.6700440000004,1681.859985,1709.6700440000004,3384048000,1709.6700440000004
99,2013-07-22,1694.410034,1698.780029,1676.030029,1691.6500239999998,3059340000,1691.6500239999998
100,2013-07-15,1679.589966,1693.119995,1671.839966,1692.089966,3122660000,1692.089966
101,2013-07-08,1634.199951,1680.189941,1634.199951,1680.189941,3233274000,1680.189941
102,2013-07-01,1609.780029,1632.069946,1604.569946,1631.890015,2755502500,1631.890015
103,2013-06-24,1588.77002,1620.069946,1560.329956,1606.280029,4078980000,1606.280029
104,2013-06-17,1630.640015,1654.189941,1577.699951,1592.430054,4091850000,1592.430054
105,2013-06-10,1644.670044,1648.689941,1608.069946,1626.72998,3187002000,1626.72998
106,2013-06-03,1631.709961,1646.530029,1598.22998,1643.380005,3631526000,1643.380005
107,2013-05-28,1652.630005,1674.209961,1630.73999,1630.73999,3660690000,1630.73999
108,2013-05-20,1665.709961,1687.180054,1635.530029,1649.599976,3570650000,1649.599976
109,2013-05-13,1632.099976,1667.469971,1626.73999,1667.469971,3395934000,1667.469971
110,2013-05-06,1614.400024,1635.01001,1614.209961,1633.699951,3294078000,1633.699951
111,2013-04-29,1582.339966,1618.459961,1581.280029,1614.420044,3427490000,1614.420044
112,2013-04-22,1555.25,1592.640015,1548.189941,1582.23999,3450094000,1582.23999
113,2013-04-15,1588.839966,1588.839966,1536.030029,1555.25,4005162000,1555.25
114,2013-04-08,1553.26001,1597.349976,1548.630005,1588.849976,3238698000,1588.849976
