Date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,2095.09009,2100.98999,2085.66992,2092.83008,3243690000,2092.83008
2015-06-04,2112.3501,2112.88989,2093.22998,2095.84009,3200050000,2095.84009
2015-06-03,2110.63989,2121.91992,2109.61011,2114.07007,3099980000,2114.07007
2015-06-02,2110.40991,2117.59009,2099.13989,2109.6001,3049350000,2109.6001
2015-06-01,2108.63989,2119.1499,2102.54004,2111.72998,3011710000,2111.72998
2015-05-29,2120.65991,2120.65991,2104.88989,2107.38989,3927390000,2107.38989
2015-05-28,2122.27002,2122.27002,2112.86011,2120.79004,2980350000,2120.79004
2015-05-27,2105.12988,2126.21997,2105.12988,2123.47998,3127960000,2123.47998
2015-05-26,2125.34009,2125.34009,2099.17993,2104.19995,3342130000,2104.19995
2015-05-22,2130.36011,2132.1499,2126.06006,2126.06006,2571860000,2126.06006
2015-05-21,2125.55005,2134.28003,2122.94995,2130.82007,3070460000,2130.82007
2015-05-20,2127.79004,2134.71997,2122.59009,2125.8501,3025880000,2125.8501
2015-05-19,2129.44995,2133.02002,2124.50,2127.83008,3296030000,2127.83008
2015-05-18,2121.30005,2131.78003,2120.01001,2129.19995,2888190000,2129.19995
2015-05-15,2122.07007,2123.88989,2116.81006,2122.72998,3092080000,2122.72998
2015-05-14,2100.42993,2121.44995,2100.42993,2121.1001,3225740000,2121.1001
2015-05-13,2099.62012,2110.18994,2096.04004,2098.47998,3374260000,2098.47998
2015-05-12,2102.87012,2105.06006,2085.57007,2099.12012,000,2099.12012
2015-05-11,2115.56006,2117.68994,2104.58008,2105.33008,2992670000,2105.33008
2015-05-08,2092.12988,2117.65991,2092.12988,2116.1001,3399440000,2116.1001
2015-05-07,2079.95996,2092.8999,2074.98999,2088.00,3676640000,2088.00
2015-05-06,2091.26001,2098.41992,2067.92993,2080.1499,3792210000,2080.1499
2015-05-05,2112.62988,2115.23999,2088.45996,2089.45996,3793950000,2089.45996
