,date,lpred,lact,lpredn,lactn,hpred,hact,hpredn,hactn,rpred,ract,rpredn,ractn,mpred,mact,hlpred,mpredn,mactn
0,2015-06-19 00:00:00,-2.7311250697947766,-2.200315546212883,-0.6455703237625616,0.809677130513713,0.0,0.0,-0.6455703237625616,-1.0,2.997320805084101,2.200315546212883,-0.7885840082667855,-0.9396207418900553,-0.7665140128153081,-1.1001577731064416,-1.7393407033456962,0.35046906547940776,0.2308345222052124
1,2015-05-15 00:00:00,-2.701433689422856,-0.04949259716385823,-0.6092181990671895,0.9585035405385445,0.0,1.9964659163357767,-0.6092181990671895,-0.7285716029115475,3.320283368837152,2.045958513499635,-0.7773485565513031,-0.9508378041122992,-0.7383215594612202,0.9734866595859593,-1.4149270282281954,0.36155465373324397,0.42601581962917034
2,2015-04-17 00:00:00,-2.882418217822704,-2.4643135328007437,-0.6474732310474158,0.7914097633113002,0.0,0.0,-0.6474732310474158,-1.0,3.0455233191176863,2.4643135328007437,-0.774070855093842,-0.9204361165441898,-0.8590927906253045,-1.2321567664003719,-1.9397933963422767,0.3421582186099055,0.21841014782184026
3,2015-03-20 00:00:00,-2.5473207722973013,-3.319909840934665,-0.6406389103926345,0.7322066908192704,0.0,0.33596378881570743,-0.6406389103926345,-0.9543242326694076,2.28559736812345,3.6558736297503724,-0.7574121883982446,-0.8338459332912057,-0.7520011221786871,-1.4919730260594788,-2.1583241568438707,0.34148604387729264,0.1939550031246072
4,2015-02-20 00:00:00,-2.823662955936691,-2.7697398464084144,-0.5368671713010055,0.7702757588589831,0.0,2.850151527029521,-0.5368671713010055,-0.6125092574279052,3.4239369041469825,5.619891373437936,-0.6966172895290567,-0.6911215698508884,-0.6823880992494844,0.040205840310552965,-1.5207990325499803,0.36646151853552233,0.3381709807092429
5,2015-01-16 00:00:00,-3.153782210493208,-3.7659605288504205,-0.6330681837639442,0.7013421686599918,0.0,0.9620248203599857,-0.6330681837639442,-0.8692084583998976,3.1962320912454842,4.727985349210407,-0.7643052150227784,-0.755936014611174,-0.9905912294926851,-1.4019678542452176,-2.214439372623521,0.35262818545492686,0.20242671887906008
6,2014-12-19 00:00:00,-2.7026613637447974,-4.39835279864309,-0.753448635660446,0.6575837220234098,0.0,0.575241919069569,-0.753448635660446,-0.9217933094907499,1.7849176798400126,4.973594717712659,-0.8286395154199516,-0.7380876825952699,-1.288068945153587,-1.9115554397867607,-2.8035453333594655,0.29947122789674957,0.15446190652788952
7,2014-11-21 00:00:00,-2.735856747400468,-0.15015683077649333,-0.4526273997990361,0.9515380687812837,0.0,5.035175264711911,-0.4526273997990361,-0.3154455881377938,3.463297445412177,5.185332095488404,-0.6382393495965533,-0.7227008142450762,-0.7571786462902137,2.442509216967709,-1.4548708718151755,0.38618884602137116,0.5642872243957766
8,2014-10-17 00:00:00,-3.3606077633151856,-7.357243943208392,-0.6784372012883054,0.45284295203366154,0.0,0.0,-0.6784372012883054,-1.0,3.4030449210628095,7.357243943208392,-0.8061380544455544,-0.5648688715802898,-1.0800814959990117,-3.678621971604196,-2.315568642048615,0.35149848774633763,-0.011862817651929402
9,2014-09-19 00:00:00,-3.981796683126609,-0.21474647698956906,-0.6248778704459798,0.947068781723083,0.0,1.1546952687021328,-0.6248778704459798,-0.8430140563157364,4.342302747081374,1.3694417456917019,-0.7503166964802053,-1.0,-1.1693204937941881,0.46997439585628187,-2.3550443075651177,0.3555210542412651,0.3786228455231749
10,2014-08-15 00:00:00,-3.6173224252032266,-3.4702927887891533,-0.6798836694821446,0.7218009276354478,0.0,0.4933732923071421,-0.6798836694821446,-0.9329237124453581,3.71073814741556,3.9636660810962954,-0.7998809053058722,-0.8114787821637411,-1.0854414154652203,-1.4884597482410056,-2.4254407836575567,0.350929038969403,0.19428568957789177
11,2014-07-18 00:00:00,-3.314066428821718,-0.6566922431355371,-0.7171945273635403,0.9164883000380333,0.0,1.1498441596994313,-0.7171945273635403,-0.8436735861028121,3.087247491086117,1.8065364028349684,-0.8227504272623235,-0.9682365106402723,-0.8863783952404096,0.24657595828194712,-2.543726301380049,0.34707002613643956,0.3575955198154451
12,2014-06-20 00:00:00,-3.266533635263187,0.0,-0.6487595311731209,0.9619281857711793,0.0,3.2801358067886754,-0.6487595311731209,-0.5540509873050351,3.5076801046457726,3.2801358067886754,-0.7743456666216427,-0.861150646690572,-0.6869908592728202,1.6400679033943377,-2.0513535239439493,0.3541628601328275,0.488757623360714
13,2014-05-16 00:00:00,-3.5191771811451615,-0.07775167003569727,-0.5863885858401283,0.9565481511523538,0.0,1.7481285583049955,-0.5863885858401283,-0.7623341682906699,4.115400296009719,1.8258802283406927,-0.7317383939838213,-0.966830802779089,-0.6485055496216228,0.8351884441346491,-1.8296030397811052,0.36503978149516614,0.4129985324329479
14,2014-04-18 00:00:00,-3.059152830063579,-2.7232538871991174,-0.6226821895441556,0.773492359476314,0.0,1.3061742568397428,-0.6226821895441556,-0.8224198159601415,3.263132457379773,4.02942814403886,-0.7657890956766623,-0.8066998800371356,-0.4162442488294613,-0.7085398151796873,-1.955081205186829,0.37154022631775757,0.2676954709375948
15,2014-03-21 00:00:00,-2.334328502580485,0.0,-0.5957712605970753,0.9619281857711793,0.0,2.2758360245064724,-0.5957712605970753,-0.6905899974983318,2.3210411060075744,2.2758360245064724,-0.7472692156190716,-0.9341326997245485,-0.11710818013669433,1.1379180122532362,-1.7748825617840986,0.37779672633492944,0.44149288225610533
