,q1c,q1cstd,q1high,q1low,q1range,q1middle,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
2015-03-20,0.09103393907927745,-0.7840303822951815,-0.8047171072675231,0.8119297273657997,-0.8673914114398679,-0.03767184801278783,0.15084453340355375,-0.7495928147942784,-0.7938675615654505,0.7962585990852065,-0.8115813874537651,-0.7871932493324604,0.5454637976586479,0.0,0.0,-0.6375542777995487,1.0,-0.0786358324952279,0.0,0.0,0.009244267124022557,0.0,0.031554417394966276,-0.585995525268047,-0.4938227834662717,0.8571413407458233,-0.729668972633333,-0.5079077469359969,0.40201119834283605,0.0,0.0,-0.40670125687661046,1.0,-0.03144686970520752,0.0,0.0,0.03071247718740436,0.0
2014-12-19,0.15084453340355375,-0.7495928147942784,-0.7204153552295197,0.6325827655004947,-0.616812891234951,-0.10301383790599802,0.12187996736197028,-0.9450651460748615,-0.9598444025895853,0.9747056155672355,-0.980489165233795,-0.9627874446590173,0.5844335738899289,0.0,0.0,-0.6479027281195461,1.0,-0.008431283389247174,0.0,0.0,0.03046855971671607,0.0,0.10075894080624322,-0.9793673893485771,-0.8466809970771966,0.9511708818079949,-0.9466124484960378,-0.9678910775840415,0.34431363357536193,0.0,0.0,-0.39823411411411797,1.0,-0.05666535429044775,0.0,0.0,0.0038438217941317012,0.0
2014-09-19,0.12187996736197028,-0.9450651460748615,-0.7862811555195351,0.8643935153791372,-0.9133526287044187,-0.006118899770407149,0.259821356600637,-0.9100109469872051,-0.9373645508942224,0.9099579008322224,-0.9396197684211527,-0.9230120611535115,0.588611888235891,0.0,0.0,-0.6820106105855291,1.0,0.2253088394762952,0.0,0.0,-0.03327843761326903,0.0,0.29871465122968605,-0.9881876580752889,-1.0,0.9254644604910579,-1.0000000000000002,-0.9952976296554191,0.4930505447935456,0.0,0.0,-0.5062313822407569,1.0,0.16857102725561846,0.0,0.0,-0.07808378245162025,0.0
2014-06-20,0.259821356600637,-0.9100109469872051,-0.5534179770618474,0.8640020006743026,-0.7651977040736848,0.1054923365108247,0.13342377831293695,-0.84161133990454,-0.8786782492012657,0.8915385393385272,-0.9000511624418922,-0.8849855022107822,0.5133904619248065,0.0,0.0,-0.6525744254747365,1.0,0.3287655602398233,0.0,0.0,0.014087171555626849,0.0,0.150122424803213,-0.8215205757072587,-0.661470618335622,0.8615126348441733,-0.8084641578013438,-0.8255730652807087,0.4194837245552535,0.0,0.0,-0.4354411238757162,1.0,-0.021556328235937457,0.0,0.0,-0.006521279050581484,0.0
2014-03-21,0.13342377831293695,-0.84161133990454,-0.7158599777483473,0.7900878418715692,-0.7870180668161311,-0.022946509414389155,0.3191182441725948,-0.8796070376390205,-0.9404108497514037,0.9045107603547672,-0.9384381545056205,-0.9187706523617568,0.4036290587739809,0.0,0.0,-0.6683442418416667,1.0,0.07677700569476112,0.0,0.0,-0.07594538085447256,0.0,0.06842313678676464,-0.8308868025401966,-0.781554415127663,0.9252158403095201,-0.9006267383421213,-0.6946217071799983,0.5313283008390761,0.0,0.0,-0.5673080306417241,1.0,-0.025813187453255712,0.0,0.0,0.03558001702659272,0.0
2013-12-20,0.3191182441725948,-0.8796070376390205,-0.4514982413161669,0.8409442426594254,-0.6752014316253945,0.13648004777012787,0.37132942851248285,-0.9093969237331384,-0.9089193061691321,0.9189312599979818,-0.9283523537071174,-0.959610670839558,0.3779963499567052,0.0,0.0,-0.6011673414378289,1.0,0.2984441268352858,0.0,0.0,-0.11744899113237521,0.0,0.254070191799755,-0.805879224226328,-0.7000329522745125,0.8850128908072333,-0.8400696495315075,-0.8104471224520035,0.4669786242871506,0.0,0.0,-0.4909984287138085,1.0,0.12528641246397482,0.0,0.0,-0.06863987960505198,0.0
2013-09-20,0.37132942851248285,-0.9093969237331384,-0.2769518436327267,0.9393483974234367,-0.6726162660738619,0.30898890521757655,0.11489889445131231,-0.780734667355153,-0.8168590587364232,0.7930368227837266,-0.8230469995024218,-0.8745767690110685,0.27835803595669767,0.0,0.0,-0.49727874293373503,1.0,-0.003462451778567114,0.0,0.0,0.007439929617225433,0.0,-0.1874043957752403,-0.5454995038927514,-0.3429558100304895,0.8002798160984113,-0.6275819905034771,-0.7253757924119298,0.21146781229621187,0.9564075094910331,0.08616289850625719,-0.3173751263176199,1.0,-0.3463690254729943,0.3106230879564834,0.44076448318967876,0.21090943180416757,0.0
2013-06-21,0.11489889445131231,-0.780734667355153,-0.37613858151705126,0.9509871034062748,-0.7483294511921403,0.269476744453511,0.44605451700442067,-0.8673699138715181,-0.9507019987895673,0.8337621269815817,-0.9122905722486029,-0.8714839397451569,0.28007393272717507,0.0,0.0,-0.5056073363197982,1.0,0.24545771237679564,0.0,0.7083536698410525,-0.18367529702114535,0.0,0.24809915153008466,-0.7857814049899962,-0.7445536187714823,0.8050852224426958,-0.811495818774274,-0.6756530007000796,0.49273837304031237,0.0,0.0,-0.5128526499236052,1.0,0.06302472391374596,0.0,0.0,-0.0450457806226603,0.0
2013-03-15,0.5238502755584121,-0.8553691435499502,-0.08411982205423507,0.960609149225179,-0.5736518862159337,0.42382054273132713,-0.12170004294441307,-0.848916272518082,-0.7732440045893022,0.8985822015680724,-0.8469122983399238,-0.8732031619836571,0.18240711651482652,0.0,-0.9611329259372388,-0.31553381884231757,1.0,-0.2250072679941909,0.0,-0.34995857781556594,0.117355887241222,0.0,0.3596152059351291,-0.8113100251274765,-0.7715791365779097,0.7560527148569341,-0.792938098789819,-0.7439883869245287,0.1305104160562033,-0.018235659350444522,0.01088429717726607,-0.14663478219188636,0.0,0.1752175933705896,-0.006723001674994779,0.055678391783351724,-0.15587219200355118,0.0
2012-12-21,-0.07022512905088406,-0.8246133004889952,-0.9925938109344031,0.6346579027165505,-0.7917590644158156,-0.18053344629622722,0.4717691475351687,-0.8156653526557883,-0.8967698699220257,0.7671609406952499,-0.8532715685093035,-0.8372870814109318,0.2947656084983003,0.0,0.0,-0.4333935928903301,1.0,0.4208140473160102,0.0,0.40119537285497553,-0.21486223978697086,0.0,0.31635239792935593,-0.7958590809210441,-0.7763139190941473,0.8659154027619992,-0.8621064226525569,-0.7151763506425283,0.5585707000879611,0.0,0.0,-0.5457436714118833,1.0,0.2925251461807426,0.0,0.0,-0.0942441564409649,0.0
