,date,o,h,l,close,vol,c,lixt,lixc72,lixc288,lixd,lixm
0,2015-06-19,2091.340088,2126.649902,2072.48999,2109.98999,3434776000,2109.98999,30.1552429292,0.0,0.0,-18.1499495896,1
1,2015-06-12,2092.340088,2115.02002,2072.139893,2094.110107,3042810000,2094.110107,29.1965793308,0.0,0.0,-17.7186572797,1
2,2015-06-05,2108.639893,2121.919922,2085.669922,2092.830078,3120956000,2092.830078,29.583573124,0.0,0.0,-17.8479185373,1
3,2015-05-29,2125.340088,2126.219971,2099.179932,2107.389893,3344457500,2107.389893,31.0808242931,0.0,0.0,-18.5950054298,1
4,2015-05-22,2121.300049,2134.719971,2120.01001,2126.060059,2970484000,2126.060059,32.7045907823,0.0,0.0,-19.4997686746,1
5,2015-05-15,2115.560059,2123.889893,2085.570068,2122.72998,2536950000,2122.72998,32.667019758,0.0,0.0,-19.560549924,1
6,2015-05-08,2110.22998,2120.949951,2067.929932,2116.100098,3550764000,2116.100098,32.5776636432,0.0,0.0,-19.5022010147,1
7,2015-05-01,2119.290039,2125.919922,2077.590088,2108.290039,3789812000,2108.290039,32.5518685188,0.0,0.0,-19.4011409045,1
8,2015-04-24,2084.110107,2120.919922,2084.110107,2117.689941,3320900000,2117.689941,33.5302771813,0.0,0.0,-19.9589555844,1
9,2015-04-17,2102.030029,2111.909912,2072.370117,2081.179932,3457034000,2081.179932,31.7584484578,0.0,0.0,-18.7706078528,1
10,2015-04-10,2064.870117,2102.610107,2056.52002,2102.060059,2668474000,2102.060059,33.3019406285,0.0,0.0,-19.7683927138,1
11,2015-04-03,2064.110107,2088.969971,2048.379883,2066.959961,3233367500,2066.959961,31.9029963525,0.0,0.0,-18.6160632272,1
12,2015-03-27,2107.98999,2114.860107,2045.5,2061.02002,3299628000,2061.02002,31.6717604873,0.0,0.0,-18.5730998619,1
13,2015-03-20,2055.350098,2113.919922,2055.350098,2108.100098,3900998000,2108.100098,34.352228713,0.0,0.0,-20.5708405245,1
14,2015-03-13,2072.25,2083.48999,2039.689941,2053.399902,3465796000,2053.399902,30.617815972,0.0,0.0,-18.6576689397,1
15,2015-03-06,2105.22998,2117.52002,2067.27002,2071.26001,3409900000,2071.26001,31.4768965631,0.0,0.0,-19.540510403,1
16,2015-02-27,2109.830078,2119.590088,2103.0,2104.5,3312386000,2104.5,33.5086026435,0.0,0.0,-20.999173639,1
17,2015-02-20,2096.469971,2110.610107,2085.439941,2110.300049,3315117500,2110.300049,33.8853687109,0.0,0.0,-21.42559096,1
18,2015-02-13,2053.469971,2097.030029,2041.880005,2096.98999,3626410000,2096.98999,33.446182206,0.0,0.0,-21.1424303806,1
19,2015-02-06,1996.670044,2072.399902,1980.900024,2055.469971,4164222000,2055.469971,31.4323731702,0.0,0.0,-19.7627957417,1
20,2015-01-30,2050.419922,2057.620117,1989.180054,1994.98999,3905778000,1994.98999,28.1715516193,0.0,0.0,-17.5310514762,1
21,2015-01-23,2020.76001,2064.620117,2004.48999,2051.820068,3856005000,2051.820068,32.3005700346,0.0,0.0,-19.9850720082,1
22,2015-01-16,2046.130005,2056.929932,1988.119995,2019.420044,4055114000,2019.420044,31.0359004438,0.0,0.0,-18.910407697,1
23,2015-01-09,2054.439941,2064.429932,1992.439941,2044.810059,3872572000,2044.810059,33.6262830384,0.0,0.0,-20.1175093547,1
24,2015-01-02,2087.629883,2093.550049,2046.040039,2058.199951,2551852500,2058.199951,35.2915651935,0.0,0.0,-20.8496105304,1
25,2014-12-26,2069.280029,2092.699951,2069.280029,2088.77002,2391420000,2088.77002,38.0791680743,0.0,0.0,-22.2227898481,1
26,2014-12-19,2005.030029,2077.850098,1972.560059,2070.649902,5086390000,2070.649902,37.5165201745,0.0,0.0,-21.7684624543,1
27,2014-12-12,2074.840088,2075.780029,2002.329956,2002.329956,3992236000,2002.329956,33.3109882877,0.0,0.0,-19.3169782516,1
28,2014-12-05,2065.780029,2079.469971,2049.570068,2075.370117,3657260000,2075.370117,38.1699851005,0.0,0.0,-22.3358774002,1
29,2014-11-28,2065.070068,2075.76001,2064.75,2067.560059,2942725000,2067.560059,37.3653730269,0.0,0.0,-22.2599564916,1
30,2014-11-21,2038.290039,2071.459961,2034.459961,2063.5,3400928000,2063.5,37.1304519181,0.0,0.0,-22.3257166243,1
31,2014-11-14,2032.01001,2046.180054,2030.170044,2039.819946,3234462000,2039.819946,35.9708717498,0.0,0.0,-21.6512695463,1
32,2014-11-07,2018.209961,2034.26001,2001.01001,2031.920044,3730468000,2031.920044,35.7827626731,0.0,0.0,-21.567155414,1
33,2014-10-31,1962.969971,2018.189941,1951.369995,2018.050049,3762182000,2018.050049,35.7578297763,0.0,0.0,-21.2518339735,1
34,2014-10-24,1885.619995,1965.27002,1882.300049,1964.579956,3589572000,1964.579956,33.2174755166,0.0,0.0,-19.3377234926,1
35,2014-10-17,1905.650024,1912.089966,1820.660034,1886.76001,4962132000,1886.76001,28.6585710005,0.316535991241,0.316535991241,-16.217686463,1
36,2014-10-10,1970.01001,1977.839966,1906.050049,1906.130005,4072602000,1906.130005,30.556899856,0.0,0.0,-17.2353255236,1
37,2014-10-03,1978.959961,1985.170044,1926.030029,1967.900024,3761592000,1967.900024,35.2826538647,0.0,0.0,-20.0074290156,1
38,2014-09-26,2009.079956,2009.079956,1965.98999,1982.849976,3229072000,1982.849976,37.2468817832,0.0,0.0,-20.8175995398,1
39,2014-09-19,1986.040039,2019.26001,1978.47998,2010.400024,3452364000,2010.400024,40.1968273945,0.0,0.0,-22.1217969186,1
40,2014-09-12,2007.170044,2007.170044,1980.26001,1985.540039,2946522000,1985.540039,39.4898716729,0.0,0.0,-21.3860311156,1
41,2014-09-05,2004.069946,2011.170044,1990.099976,2007.709961,2880167500,2007.709961,43.0011143773,0.0,0.0,-22.4894207564,1
42,2014-08-29,1991.73999,2005.040039,1990.52002,2003.369995,2314342000,2003.369995,44.2326326269,0.0,0.0,-22.5669002365,1
43,2014-08-22,1958.359985,1994.76001,1958.359985,1988.400024,2562950000,1988.400024,44.2201829961,0.0,0.0,-22.2253376534,1
44,2014-08-15,1933.430054,1964.040039,1928.290039,1955.060059,2749490000,1955.060059,42.0915419725,0.0,0.0,-21.1331225961,1
45,2014-08-08,1926.619995,1942.920044,1904.780029,1931.589966,3241478000,1931.589966,39.9537635457,0.0,0.0,-20.3962551756,1
46,2014-08-01,1978.25,1984.849976,1916.369995,1925.150024,3483506000,1925.150024,39.3203261578,0.0,0.0,-20.3487739056,1
47,2014-07-25,1976.930054,1991.390015,1965.77002,1978.339966,2842770000,1978.339966,42.4705064153,0.0,0.0,-22.7045800147,1
48,2014-07-18,1969.859985,1983.939941,1955.589966,1978.219971,3190470000,1978.219971,41.9500429332,0.0,0.0,-22.9378336892,1
49,2014-07-11,1984.219971,1984.219971,1952.859985,1967.569946,2938562000,1967.569946,40.8351667028,0.0,0.0,-22.7617936404,1
50,2014-07-04,1960.790039,1985.589966,1958.219971,1985.439941,2768790000,1985.439941,41.7956354453,0.0,0.0,-23.6850906073,1
51,2014-06-27,1962.920044,1968.170044,1944.689941,1960.959961,3196694000,1960.959961,40.4562224222,0.0,0.0,-22.9798250031,1
52,2014-06-20,1934.839966,1963.910034,1930.910034,1962.869995,3250200000,1962.869995,40.4842075082,0.0,0.0,-23.2863658919,1
53,2014-06-13,1948.969971,1955.550049,1925.780029,1936.160034,2772774000,1936.160034,38.4173658892,0.0,0.0,-22.4659816286,1
54,2014-06-06,1923.869995,1949.439941,1915.97998,1949.439941,2829538000,1949.439941,39.4774144764,0.0,0.0,-23.2194527895,1
55,2014-05-30,1902.01001,1924.030029,1902.01001,1923.569946,2965002500,1923.569946,38.0194095233,0.0,0.0,-22.430809513,1
56,2014-05-23,1876.660034,1901.26001,1868.140015,1900.530029,2721034000,1900.530029,37.7360983543,0.0,0.0,-21.7347436573,1
57,2014-05-16,1880.030029,1902.170044,1862.359985,1877.859985,3093954000,1877.859985,36.6667634513,0.0,0.0,-21.0240625821,1
58,2014-05-09,1879.449951,1889.069946,1859.790039,1878.47998,3222476000,1878.47998,37.2613938734,0.0,0.0,-21.2738649798,1
