,date,o,h,l,close,vol,c,lixt,lixc72,lixc288,lixd,lixm
20,2015-05-21,2125.550049,2134.280029,2122.949951,2130.820068,3070460000,2130.820068,4.72764285899,0.0,0.0,-4.15050760725,1
21,2015-05-20,2127.790039,2134.719971,2122.590088,2125.850098,3025880000,2125.850098,4.62652115681,0.0,0.0,-3.9746608155,1
22,2015-05-19,2129.449951,2133.02002,2124.5,2127.830078,3296030000,2127.830078,4.81875496711,0.0,0.0,-4.10647110014,1
23,2015-05-18,2121.300049,2131.780029,2120.01001,2129.199951,2888190000,2129.199951,5.06452934881,0.0,0.0,-4.21449289708,1
24,2015-05-15,2122.070068,2123.889893,2116.810059,2122.72998,3092080000,2122.72998,4.92561598776,0.0,0.0,-3.97093858916,1
25,2015-05-14,2100.429932,2121.449951,2100.429932,2121.100098,3225740000,2121.100098,4.87335288725,0.0,0.0,-3.94018735777,1
26,2015-05-13,2099.620117,2110.189941,2096.040039,2098.47998,3374260000,2098.47998,3.80961983803,0.0,0.0,-2.94989261489,1
27,2015-05-12,2102.870117,2105.060059,2085.570068,2099.120117,0,2099.120117,3.83448146241,0.0,0.0,-3.01259568555,1
28,2015-05-11,2115.560059,2117.689941,2104.580078,2105.330078,2992670000,2105.330078,4.20321181392,0.0,0.0,-3.33259528627,1
29,2015-05-08,2092.129883,2117.659912,2092.129883,2116.100098,3399440000,2116.100098,4.73198832196,0.0,0.0,-3.86068390411,1
30,2015-05-07,2079.959961,2092.899902,2074.98999,2088.0,3676640000,2088.0,3.2400723372,0.0,0.0,-2.60461314092,1
31,2015-05-06,2091.26001,2098.419922,2067.929932,2080.149902,3792210000,2080.149902,2.9389229629,0.0614849999722,0.0614849999722,-2.26980359191,1
32,2015-05-05,2112.629883,2115.23999,2088.459961,2089.459961,3793950000,2089.459961,3.49103741139,-0.0146457749791,-0.0146457749791,-2.73681097607,1
33,2015-05-04,2110.22998,2120.949951,2110.22998,2114.48999,3091580000,2114.48999,4.82146046619,0.0,0.0,-3.92208000492,1
34,2015-05-01,2087.379883,2108.409912,2087.379883,2108.290039,3379390000,2108.290039,4.51224749884,0.0,0.0,-3.68047096156,1
35,2015-04-30,2105.52002,2105.52002,2077.590088,2085.51001,4509680000,2085.51001,3.37423251191,0.0,0.0,-2.66632838082,1
36,2015-04-29,2112.48999,2113.649902,2097.409912,2106.850098,4074970000,2106.850098,4.54531054677,0.0,0.0,-3.68216638665,1
37,2015-04-28,2108.350098,2116.040039,2094.889893,2114.76001,3546270000,2114.76001,4.83963155332,0.0,0.0,-4.07859723909,1
38,2015-04-27,2119.290039,2125.919922,2107.040039,2108.919922,3438750000,2108.919922,4.34076041883,0.0,0.0,-3.84941933146,1
39,2015-04-24,2112.800049,2120.919922,2112.800049,2117.689941,3375780000,2117.689941,4.57937536715,0.0,0.0,-4.28022073493,1
40,2015-04-23,2107.209961,2120.48999,2103.189941,2112.929932,3636670000,2112.929932,4.2425061758,0.0,0.0,-4.1016028274,1
41,2015-04-22,2098.27002,2109.97998,2091.050049,2107.959961,3348480000,2107.959961,3.95708795969,0.0,0.0,-3.91283148707,1
42,2015-04-21,2102.820068,2109.639893,2094.379883,2097.290039,3243410000,2097.290039,3.40966112143,0.0,0.0,-3.46288015565,1
43,2015-04-20,2084.110107,2103.939941,2084.110107,2100.399902,3000160000,2100.399902,3.67051007465,0.0,0.0,-3.64349111155,1
44,2015-04-17,2102.580078,2102.580078,2072.370117,2081.179932,3627600000,2081.179932,2.90008417339,0.0,0.0,-2.79357554523,1
45,2015-04-16,2105.959961,2111.300049,2100.02002,2104.98999,3434120000,2104.98999,4.23200987792,0.0,0.0,-3.92154327953,1
46,2015-04-15,2097.820068,2111.909912,2097.820068,2106.629883,4013760000,2106.629883,4.43238755213,0.0,0.0,-4.03388944586,1
47,2015-04-14,2092.280029,2098.620117,2083.23999,2095.840088,3301270000,2095.840088,4.04252763961,0.0,0.0,-3.58239795615,1
48,2015-04-13,2102.030029,2107.649902,2092.330078,2092.429932,2908420000,2092.429932,3.9247577452,0.0,0.0,-3.46142136137,1
49,2015-04-10,2091.51001,2102.610107,2091.51001,2102.060059,536200000,2102.060059,4.42051109331,0.0,0.0,-3.93954641031,1
50,2015-04-09,2081.290039,2093.310059,2074.290039,2091.179932,3172360000,2091.179932,3.86820293803,0.0,0.0,-3.47945391082,1
51,2015-04-08,2076.939941,2086.689941,2073.300049,2081.899902,3265330000,2081.899902,3.34656372911,0.0,0.0,-3.07897418898,1
52,2015-04-07,2080.790039,2089.810059,2076.100098,2076.330078,3065510000,2076.330078,3.10483569902,0.0,0.0,-2.84794321963,1
53,2015-04-06,2064.870117,2086.98999,2056.52002,2080.620117,3302970000,2080.620117,3.28254908419,0.0,0.0,-3.07483116395,1
54,2015-04-02,2060.030029,2072.169922,2057.320068,2066.959961,3095960000,2066.959961,2.57159438524,0.341808044179,0.341808044179,-2.46135703489,1
55,2015-04-01,2067.629883,2067.629883,2048.379883,2059.689941,3543270000,2059.689941,2.28071779328,0.0,0.030706225178,-2.14534509381,0
56,2015-03-31,2084.050049,2084.050049,2067.040039,2067.889893,3376550000,2067.889893,2.80297763718,0.284917079964,0.284917079964,-2.55954223915,1
57,2015-03-30,2064.110107,2088.969971,2064.110107,2086.23999,2917690000,2086.23999,4.00468364152,-0.0973838964551,-0.0973838964551,-3.45032994121,1
58,2015-03-27,2055.780029,2062.830078,2052.959961,2061.02002,3008550000,2061.02002,3.00463790825,0.0,0.0,-2.31288702104,1
59,2015-03-26,2059.939941,2067.149902,2045.5,2056.149902,3510670000,2056.149902,2.99138987739,0.0,0.135158281616,-2.11296675924,0
60,2015-03-25,2093.100098,2097.429932,2061.050049,2061.050049,3521140000,2061.050049,3.56367861213,0.0,0.0,-2.37826780013,1
61,2015-03-24,2103.939941,2107.629883,2091.5,2091.5,3189820000,2091.5,5.14783976129,-0.0130890748267,-0.0130890748267,-3.82730716006,1
62,2015-03-23,2107.98999,2114.860107,2104.419922,2104.419922,3267960000,2104.419922,5.79496961768,0.0,0.0,-4.45782109844,1
63,2015-03-20,2090.320068,2113.919922,2090.320068,2108.100098,5554120000,2108.100098,5.88654990602,0.0,0.0,-4.66943585795,1
64,2015-03-19,2098.689941,2098.689941,2085.560059,2089.27002,3305220000,2089.27002,4.81052187095,0.0,0.0,-3.85729249022,1
65,2015-03-18,2072.840088,2106.850098,2061.22998,2099.5,4128210000,2099.5,5.22466148034,0.0,0.0,-4.36428530759,1
66,2015-03-17,2080.590088,2080.590088,2065.080078,2074.280029,3221840000,2074.280029,3.85293101341,0.0,0.0,-3.24844305278,1
67,2015-03-16,2055.350098,2081.409912,2055.350098,2081.189941,3295600000,2081.189941,4.23340486619,0.0,0.0,-3.60622674007,1
68,2015-03-13,2064.560059,2064.560059,2041.170044,2053.399902,3498560000,2053.399902,2.8494159327,0.0,0.0,-2.33908669654,1
69,2015-03-12,2041.099976,2066.409912,2041.099976,2065.949951,3405860000,2065.949951,3.44998253279,0.0,0.0,-2.95400788769,1
70,2015-03-11,2044.689941,2050.080078,2039.689941,2040.23999,3406570000,2040.23999,2.17411089044,0.0,0.381389590227,-1.76071593004,0
71,2015-03-10,2076.139893,2076.139893,2044.160034,2044.160034,3668900000,2044.160034,2.35915934841,0.0,0.138462055971,-1.96602351023,0
72,2015-03-09,2072.25,2083.48999,2072.209961,2079.429932,3349090000,2079.429932,4.10527712134,0.420751694107,0.420751694107,-3.6494685533,1
73,2015-03-06,2100.909912,2100.909912,2067.27002,2071.26001,3853570000,2071.26001,3.76978235339,0.699010606914,0.699010606914,-3.31204946259,1
74,2015-03-05,2098.540039,2104.25,2095.219971,2101.040039,3103030000,2101.040039,5.49726247584,0.0,0.0,-4.72584371271,1
75,2015-03-04,2107.719971,2107.719971,2094.48999,2098.530029,3421110000,2098.530029,5.58553263056,0.0,0.0,-4.6654834924,1
76,2015-03-03,2115.76001,2115.76001,2098.26001,2107.780029,3262300000,2107.780029,6.26307877954,0.0,0.0,-5.13796803674,1
77,2015-03-02,2105.22998,2117.52002,2104.5,2117.389893,3409490000,2117.389893,6.98206649132,0.0,0.0,-5.62682543132,1
78,2015-02-27,2110.879883,2112.73999,2103.75,2104.5,3547380000,2104.5,6.46696407341,0.0,0.0,-5.10979265216,1
79,2015-02-26,2113.909912,2113.909912,2103.76001,2110.73999,3408690000,2110.73999,6.87589359088,0.0,0.0,-5.44885445071,1
80,2015-02-25,2115.300049,2119.590088,2109.889893,2113.860107,3312340000,2113.860107,7.03075289953,0.0,0.0,-5.65046408835,1
81,2015-02-24,2109.100098,2117.939941,2105.870117,2115.47998,3199840000,2115.47998,7.24507191273,0.0,0.0,-5.78899390339,1
82,2015-02-23,2109.830078,2110.050049,2103.0,2109.659912,3093680000,2109.659912,7.00268129774,0.0,0.0,-5.59403901217,1
83,2015-02-20,2097.649902,2110.610107,2085.439941,2110.300049,3281600000,2110.300049,7.06158810529,0.0,0.0,-5.68392258704,1
84,2015-02-19,2099.25,2102.129883,2090.790039,2097.449951,3247100000,2097.449951,6.56134181732,0.0,0.0,-5.17215319156,1
85,2015-02-18,2099.159912,2100.22998,2092.149902,2099.679932,3370020000,2099.679932,6.75012121164,0.0,0.0,-5.33266413999,1
86,2015-02-17,2096.469971,2101.300049,2089.800049,2100.340088,3361750000,2100.340088,6.81263498808,0.0,0.0,-5.42144395368,1
87,2015-02-13,2088.780029,2097.030029,2086.699951,2096.98999,3527450000,2096.98999,6.54668323993,0.0,0.0,-5.32612695565,1
88,2015-02-12,2069.97998,2088.530029,2069.97998,2088.47998,3788350000,2088.47998,6.11088478736,0.0,0.0,-4.99710530898,1
